epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1733.61,0.83354,2.34803,0.01122,0.84391,0.80874,0.86323,0.6952,0.71115,0.77012,0.00857,9.99849e-05,9.99849e-05,9.99849e-05
2,3424.14,0.88626,1.03342,0.01223,0.88735,0.81374,0.8857,0.72801,0.71345,0.63486,0.00882,0.000199941,0.000199941,0.000199941
3,5113.65,0.8815,0.96532,0.0122,0.88849,0.8136,0.88872,0.77293,0.57337,0.56292,0.00693,0.000299719,0.000299719,0.000299719
4,6794.6,0.84908,0.89355,0.01168,0.8984,0.82487,0.89723,0.79307,0.52286,0.50183,0.0062,0.000299401,0.000299401,0.000299401
