model,task,split,metric,class,precision,recall,map50,map50_95
bbox_original,bbox,test,box,all,0.8514375585181202,0.7896762035537991,0.8456443363970878,0.7610661328221966
bbox_original,bbox,test,box,paper,0.8846599457068081,0.8185714285714286,0.9151383052678603,0.8849724312173064
bbox_original,bbox,test,box,plastic,0.7588399076105594,0.6045949214026602,0.6671373132301721,0.5527091742483349
bbox_original,bbox,test,box,can,0.8246596347610995,0.8687392055267703,0.916235942663859,0.8695450844615433
bbox_original,bbox,test,box,glass,0.8354053593149424,0.7157807391704046,0.7780338745696858,0.6915562009849782
bbox_original,bbox,test,box,battery,0.9080432762136234,0.8459619831852829,0.9024402329103949,0.7653516432637824
bbox_original,bbox,test,box,vinyl,0.7906121222032222,0.7941601939243618,0.846399458073696,0.7403899053277111
bbox_original,bbox,test,box,general,0.9578426638165863,0.8799249530956847,0.8941252280639459,0.8229384902517178
