epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
11,7694.860,0.54189,1.09526,0.75689,0.95005,0,0.8642,0.77906,0.86586,0.80629,0.86421,0.77402,0.85897,0.76943,0.34776,0.78909,1.73733,0.83691,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,8382.440,0.53563,1.08034,0.74289,0.94859,0,0.8673,0.77852,0.86996,0.81085,0.8651,0.77318,0.86227,0.77202,0.34299,0.79046,1.5057,0.83422,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,8996.730,0.53007,1.06929,0.73216,0.94519,0,0.86603,0.78798,0.87159,0.81429,0.86474,0.78257,0.86539,0.77496,0.33868,0.77935,1.54271,0.83227,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,9736.850,0.52345,1.06098,0.71682,0.94367,0,0.86046,0.79124,0.871,0.81412,0.86107,0.78381,0.86468,0.77517,0.3357,0.77058,1.61043,0.83204,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,10433.500,0.52016,1.04707,0.70702,0.93928,0,0.86657,0.79263,0.87268,0.81605,0.86367,0.78869,0.86593,0.77674,0.33231,0.77293,1.47628,0.83009,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,11017.400,0.51626,1.03636,0.70118,0.93814,0,0.86569,0.79712,0.87488,0.81808,0.86396,0.79214,0.86815,0.77894,0.3301,0.77102,1.41958,0.82858,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,11597.700,0.51199,1.03994,0.6947,0.93711,0,0.85793,0.80793,0.87694,0.82035,0.8597,0.79866,0.87022,0.78058,0.32774,0.76732,1.37697,0.82787,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,12165.057,0.5064,1.0291,0.68509,0.93591,0,0.86081,0.80627,0.87781,0.82159,0.85987,0.79888,0.87065,0.78154,0.32574,0.76441,1.39557,0.82685,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,12727.760,0.50807,1.03118,0.68392,0.93636,0,0.86354,0.80588,0.87836,0.82301,0.86006,0.80098,0.87151,0.78288,0.32369,0.76225,1.44865,0.82566,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,13316.980,0.50456,1.03068,0.6751,0.93348,0,0.86855,0.80388,0.87866,0.8235,0.86662,0.79879,0.87222,0.78298,0.32263,0.76111,1.46856,0.82526,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,13878.050,0.50429,1.02228,0.66982,0.93367,0,0.8676,0.80543,0.87873,0.8234,0.86603,0.7998,0.87225,0.78331,0.32198,0.76056,1.48445,0.8251,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,14418.080,0.50334,1.01669,0.66728,0.93155,0,0.86376,0.80674,0.87889,0.82423,0.86341,0.80121,0.87233,0.78388,0.32111,0.75971,1.48382,0.8244,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,14960.160,0.50099,1.01426,0.66474,0.93239,0,0.86139,0.80905,0.87921,0.82452,0.86156,0.80172,0.87253,0.78422,0.3206,0.75828,1.49128,0.82403,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,15494.400,0.49776,1.00706,0.65413,0.93048,0,0.86327,0.8071,0.87943,0.82475,0.86421,0.79933,0.87281,0.78452,0.31979,0.75792,1.48844,0.82391,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,16040.680,0.4941,1.00508,0.65278,0.93012,0,0.86717,0.80485,0.87976,0.82523,0.86606,0.79913,0.87333,0.78526,0.31897,0.75674,1.48547,0.82341,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,16578.910,0.49378,0.99329,0.64887,0.92834,0,0.8693,0.80189,0.8798,0.82574,0.86926,0.79709,0.87351,0.78546,0.31829,0.75515,1.48838,0.82324,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,17119.160,0.49047,0.98809,0.64128,0.92712,0,0.87399,0.79982,0.87998,0.82608,0.87241,0.79554,0.87365,0.7858,0.31729,0.75513,1.48089,0.8229,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,17657.920,0.49029,0.9959,0.63662,0.92711,0,0.87561,0.79887,0.88048,0.8266,0.87334,0.79434,0.874,0.78618,0.31652,0.75438,1.4771,0.82232,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,18195.380,0.48791,0.98826,0.63374,0.92614,0,0.8749,0.80143,0.88076,0.82714,0.87417,0.79425,0.87434,0.78673,0.31614,0.75364,1.46411,0.82224,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,18734.220,0.48587,0.98056,0.63063,0.92454,0,0.87503,0.8022,0.88117,0.82761,0.87328,0.79763,0.87477,0.78683,0.3156,0.75259,1.45074,0.82168,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,19272.020,0.48381,0.97926,0.62459,0.92515,0,0.876,0.80278,0.88149,0.82787,0.87388,0.79809,0.87488,0.78717,0.31535,0.75154,1.43207,0.82157,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,19809.410,0.48209,0.96924,0.62074,0.9221,0,0.87557,0.80412,0.88173,0.82859,0.87344,0.79876,0.87511,0.78777,0.31497,0.75023,1.40422,0.82142,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,20349.030,0.48127,0.96575,0.61825,0.92261,0,0.87533,0.80474,0.88209,0.82898,0.87222,0.79996,0.87545,0.78834,0.31411,0.74972,1.39314,0.82047,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,20886.020,0.48121,0.97438,0.61984,0.92387,0,0.87303,0.80819,0.88284,0.82975,0.87011,0.80278,0.87593,0.78871,0.31352,0.74862,1.38829,0.81987,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,21422.510,0.48046,0.97181,0.61386,0.92327,0,0.87039,0.81213,0.88321,0.83043,0.87038,0.80441,0.87669,0.78941,0.31262,0.7486,1.37279,0.81936,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,21961.800,0.47834,0.96988,0.61161,0.92058,0,0.87381,0.80991,0.8838,0.83093,0.86978,0.80537,0.87704,0.78994,0.31203,0.74864,1.35417,0.81912,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,22498.900,0.47844,0.96154,0.61102,0.92187,0,0.8742,0.81089,0.88411,0.83134,0.87073,0.80533,0.87722,0.79017,0.31173,0.74742,1.33043,0.81887,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,23034.800,0.4771,0.96522,0.60768,0.92185,0,0.87427,0.81131,0.88448,0.83165,0.87055,0.80721,0.87782,0.79092,0.31116,0.74698,1.32377,0.8184,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,23572.000,0.47484,0.96565,0.60506,0.92168,0,0.87328,0.81449,0.88496,0.83219,0.86964,0.81008,0.87822,0.79124,0.31072,0.74656,1.32647,0.81819,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,24109.500,0.47155,0.95365,0.59854,0.91933,0,0.87103,0.81641,0.88563,0.83284,0.86973,0.81027,0.87887,0.79189,0.31016,0.74551,1.30285,0.81791,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,24646.200,0.47266,0.96192,0.59711,0.91894,0,0.87137,0.81855,0.88624,0.8335,0.86745,0.81402,0.87958,0.79234,0.30957,0.74542,1.29934,0.81755,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,25181.300,0.46914,0.95426,0.59355,0.91886,0,0.871,0.81922,0.88645,0.83403,0.86816,0.81445,0.87984,0.79297,0.30888,0.74372,1.2891,0.81714,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,25718.400,0.46914,0.94824,0.58942,0.9177,0,0.87214,0.8195,0.88689,0.83477,0.86866,0.81505,0.88042,0.79345,0.30842,0.74394,1.2898,0.81705,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,26254.100,0.46746,0.95234,0.58849,0.91778,0,0.87267,0.82005,0.88722,0.8351,0.87004,0.81511,0.88091,0.7938,0.30773,0.74296,1.29782,0.81681,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,26792.600,0.46617,0.94853,0.58129,0.91657,0,0.87351,0.81978,0.88757,0.83596,0.86962,0.81415,0.88115,0.79419,0.30731,0.74151,1.2816,0.81662,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,27329.800,0.46387,0.93524,0.5784,0.91479,0,0.87487,0.81884,0.88805,0.8365,0.87092,0.81462,0.88163,0.79476,0.30684,0.74036,1.26439,0.81648,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,27874.300,0.46393,0.93302,0.57536,0.9157,0,0.87469,0.8195,0.88855,0.83714,0.87129,0.81477,0.88154,0.79496,0.30639,0.74023,1.25188,0.81623,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,28414.300,0.46453,0.94322,0.57373,0.91507,0,0.87514,0.82023,0.88849,0.83769,0.87232,0.81503,0.88172,0.79541,0.30594,0.73929,1.23648,0.81607,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,28954.100,0.46227,0.93804,0.56956,0.91557,0,0.87461,0.8214,0.88896,0.83811,0.87346,0.81565,0.88218,0.79586,0.30548,0.73787,1.2298,0.81573,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,29491.400,0.45963,0.93133,0.57129,0.91427,0,0.87348,0.82304,0.88962,0.83851,0.87046,0.81881,0.88243,0.79613,0.30523,0.73769,1.22003,0.81527,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,30038.800,0.46085,0.93237,0.56522,0.91417,0,0.87635,0.82297,0.88972,0.83894,0.87354,0.81803,0.88288,0.79671,0.30489,0.73762,1.20423,0.81496,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,30581.100,0.45855,0.92203,0.56329,0.91344,0,0.8774,0.823,0.88971,0.83938,0.876,0.81704,0.88325,0.79732,0.30462,0.7372,1.19009,0.81469,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,31123.300,0.45563,0.91847,0.55602,0.91175,0,0.87776,0.82269,0.88989,0.83987,0.87367,0.81902,0.88349,0.79767,0.30424,0.73646,1.16724,0.8143,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,31662.300,0.45501,0.92354,0.55773,0.91058,0,0.8769,0.82353,0.89011,0.84012,0.87499,0.8187,0.88376,0.7977,0.30384,0.73606,1.14084,0.81424,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,32218.300,0.45275,0.92086,0.55402,0.91058,0,0.87845,0.82324,0.89007,0.84043,0.87776,0.81716,0.88365,0.79821,0.30375,0.7356,1.13251,0.8143,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,32755.700,0.45091,0.92216,0.54917,0.91195,0,0.87893,0.8223,0.89051,0.8409,0.87628,0.81789,0.88391,0.79844,0.30372,0.73459,1.11072,0.81437,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,33297.900,0.45162,0.91127,0.54629,0.90949,0,0.87949,0.82213,0.89077,0.84115,0.87813,0.81759,0.88453,0.79881,0.30357,0.73437,1.09961,0.81437,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,33834.600,0.45016,0.91035,0.54395,0.90951,0,0.87877,0.8243,0.89105,0.8414,0.87576,0.82015,0.88469,0.79934,0.30357,0.73529,1.09034,0.81444,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,34465.300,0.44614,0.89984,0.53835,0.9096,0,0.87801,0.82487,0.89114,0.84156,0.87643,0.82038,0.88502,0.79948,0.30312,0.73338,1.07582,0.8141,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,35002.700,0.44795,0.90574,0.53641,0.90969,0,0.87784,0.82583,0.89134,0.84187,0.87555,0.82128,0.8852,0.79963,0.3028,0.73312,1.0629,0.81383,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,35642.700,0.44596,0.90117,0.53735,0.90892,0,0.87696,0.8261,0.89167,0.84246,0.87424,0.8223,0.88526,0.8002,0.30237,0.73203,1.06131,0.81333,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,36191.800,0.44381,0.89326,0.52994,0.90764,0,0.87756,0.82638,0.89182,0.84272,0.87562,0.82148,0.88586,0.80069,0.30177,0.73159,1.04473,0.81305,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,36746.654,0.43468,0.87802,0.51693,0.90468,0,0.87537,0.82929,0.89225,0.84319,0.8782,0.81973,0.88602,0.80126,0.30121,0.73058,1.02762,0.81255,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,37280.430,0.43544,0.88427,0.52108,0.90514,0,0.87653,0.82935,0.89248,0.84363,0.87997,0.81976,0.88619,0.80149,0.30086,0.72961,1.02034,0.81248,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,37815.650,0.43438,0.88546,0.51421,0.90412,0,0.87647,0.82943,0.89251,0.84398,0.88016,0.81983,0.88655,0.80181,0.3006,0.72884,1.01826,0.81224,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,38345.810,0.43554,0.88544,0.51392,0.90455,0,0.87784,0.82894,0.8928,0.84451,0.88183,0.81876,0.88701,0.80235,0.29992,0.72837,1.00297,0.81183,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,38886.650,0.43479,0.87975,0.51559,0.9032,0,0.87873,0.82821,0.89311,0.84486,0.88175,0.81859,0.88728,0.80248,0.2996,0.72729,0.98804,0.81175,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,39413.330,0.43558,0.87851,0.51666,0.90398,0,0.87776,0.82951,0.89322,0.84504,0.8764,0.82406,0.88738,0.80257,0.29922,0.7271,0.98848,0.81148,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,39947.550,0.43328,0.87278,0.50621,0.90253,0,0.8757,0.8317,0.89336,0.8452,0.87322,0.82783,0.8875,0.80293,0.29909,0.72666,0.98266,0.81154,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,40478.540,0.4304,0.87293,0.50598,0.90305,0,0.87739,0.83022,0.89421,0.84566,0.8751,0.82674,0.88795,0.80319,0.29857,0.72626,0.98314,0.81133,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,41011.960,0.43034,0.86321,0.50334,0.90159,0,0.87757,0.83136,0.89484,0.84632,0.87635,0.82639,0.88821,0.80369,0.29819,0.7258,0.96954,0.81124,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,41545.210,0.42666,0.86149,0.49703,0.90024,0,0.87735,0.83246,0.89478,0.84655,0.87649,0.82665,0.88853,0.80417,0.29815,0.72579,0.9585,0.8113,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,42071.730,0.42681,0.86583,0.49292,0.90052,0,0.87809,0.83203,0.89525,0.84705,0.87464,0.82841,0.88874,0.80441,0.2981,0.72517,0.9318,0.81125,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,42607.720,0.42465,0.85423,0.48943,0.89973,0,0.8801,0.83123,0.89532,0.84719,0.87677,0.82744,0.88921,0.8048,0.29768,0.72408,0.91651,0.81102,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,43138.270,0.42215,0.85269,0.48674,0.89773,0,0.88015,0.8318,0.89558,0.84751,0.88029,0.82581,0.88949,0.80518,0.2974,0.72377,0.90444,0.81075,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,43670.370,0.41992,0.84944,0.48275,0.89798,0,0.88041,0.83212,0.89587,0.84783,0.87782,0.82801,0.88945,0.80507,0.29712,0.72326,0.88931,0.81074,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,44200.040,0.4187,0.83889,0.47739,0.89538,0,0.88162,0.83224,0.89602,0.84814,0.87908,0.82805,0.88947,0.80527,0.29745,0.72323,0.87424,0.81125,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,44735.960,0.41665,0.83015,0.47305,0.89516,0,0.88195,0.83191,0.89631,0.84831,0.87901,0.82769,0.88971,0.80531,0.29678,0.7232,0.86312,0.81072,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,45261.040,0.41508,0.83952,0.47256,0.89595,0,0.88259,0.8319,0.89621,0.84849,0.88048,0.82694,0.88977,0.80562,0.29646,0.72335,0.85637,0.81048,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,45799.190,0.41466,0.83383,0.46661,0.89509,0,0.88361,0.83199,0.896,0.84873,0.88039,0.82879,0.89008,0.80594,0.29649,0.72284,0.8457,0.81048,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,46329.100,0.41176,0.8312,0.46292,0.89298,0,0.88232,0.83355,0.89622,0.84884,0.87917,0.82979,0.89008,0.80591,0.29641,0.72237,0.83543,0.81027,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,46861.400,0.41086,0.82334,0.46119,0.89276,0,0.88405,0.83305,0.89639,0.8491,0.88249,0.82876,0.89046,0.80616,0.29596,0.72172,0.82501,0.80999,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,47391.700,0.40947,0.82579,0.45904,0.89293,0,0.88671,0.8319,0.89651,0.84907,0.88419,0.82719,0.89078,0.80642,0.29632,0.72165,0.80959,0.81039,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,47927.300,0.40733,0.82313,0.45338,0.89292,0,0.88599,0.83297,0.89663,0.84949,0.88637,0.82663,0.89074,0.80679,0.29613,0.72159,0.80156,0.81015,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,48453.100,0.40431,0.81489,0.44854,0.89087,0,0.88879,0.8307,0.89654,0.84955,0.88635,0.82773,0.89088,0.8069,0.29595,0.72139,0.791,0.81017,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,48987.900,0.40432,0.81795,0.44386,0.89022,0,0.88613,0.83504,0.89702,0.84987,0.88371,0.83055,0.89083,0.80713,0.29586,0.72151,0.77984,0.8099,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,49516.700,0.40095,0.80776,0.43788,0.88947,0,0.88659,0.83486,0.89723,0.84988,0.88327,0.83192,0.89108,0.80726,0.29572,0.72138,0.77144,0.80997,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,50048.000,0.39912,0.79881,0.43355,0.88862,0,0.88552,0.83634,0.89749,0.85016,0.88298,0.83247,0.89142,0.80765,0.29524,0.72133,0.76156,0.80951,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,50574.000,0.39665,0.80228,0.42885,0.88821,0,0.88619,0.83583,0.89757,0.85005,0.88319,0.83226,0.89149,0.80763,0.2948,0.72011,0.75142,0.80928,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,51105.900,0.39535,0.80154,0.42297,0.88825,0,0.88566,0.83735,0.89818,0.85047,0.88329,0.8335,0.89131,0.80798,0.2947,0.71944,0.74455,0.80944,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,51643.100,0.33786,0.67784,0.35817,0.84469,0,0.88673,0.83836,0.89857,0.85108,0.8837,0.834,0.89162,0.80822,0.29448,0.71866,0.73448,0.80942,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,52172.000,0.33327,0.6653,0.34675,0.84201,0,0.8886,0.83589,0.89872,0.85143,0.88514,0.83256,0.89206,0.80869,0.29418,0.71842,0.73055,0.80911,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,52701.600,0.32954,0.65828,0.34043,0.83909,0,0.89066,0.83507,0.899,0.85168,0.8875,0.83156,0.89233,0.80916,0.29388,0.71848,0.72158,0.80894,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,53227.500,0.32788,0.65014,0.33522,0.83798,0,0.8907,0.83559,0.8991,0.85189,0.88863,0.83131,0.89277,0.80958,0.29366,0.7187,0.7107,0.8085,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,53758.200,0.32296,0.64575,0.3261,0.83589,0,0.89351,0.83322,0.89926,0.85212,0.8898,0.82991,0.8925,0.80975,0.29318,0.7196,0.6988,0.80824,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,54286.600,0.32048,0.63824,0.31979,0.83585,0,0.89201,0.83545,0.89933,0.85224,0.88997,0.83104,0.89258,0.80981,0.29308,0.71927,0.68461,0.80822,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,54829.400,0.31767,0.62964,0.31394,0.83448,0,0.89455,0.83352,0.89933,0.85223,0.89196,0.82978,0.89268,0.80978,0.29256,0.71989,0.67175,0.80794,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,55353.800,0.31421,0.62643,0.30559,0.83185,0,0.8947,0.83368,0.89937,0.85223,0.89142,0.83,0.89258,0.80979,0.29239,0.71975,0.66092,0.80799,0,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,55883.000,0.31159,0.62465,0.30253,0.83222,0,0.89091,0.83541,0.89891,0.85204,0.89073,0.82906,0.89244,0.80942,0.29222,0.72,0.65214,0.80782,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,56407.600,0.31025,0.62098,0.2958,0.82926,0,0.89184,0.83514,0.8985,0.85192,0.8898,0.82993,0.89248,0.80968,0.29211,0.72148,0.64295,0.80782,0,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
