model,task,split,metric,class,precision,recall,map50,map50_95
bbox_final,bbox,test,box,all,0.862953362857983,0.7854881444727582,0.8224618709106882,0.7410622814629887
bbox_final,bbox,test,box,paper,0.8756974196740237,0.845386608796888,0.8941719543185329,0.8634603445483255
bbox_final,bbox,test,box,plastic,0.7535948289251979,0.6545699975679711,0.6562759963813586,0.5457779981130215
bbox_final,bbox,test,box,can,0.8332668153431755,0.844559585492228,0.8898603214887345,0.8431476296081482
bbox_final,bbox,test,box,glass,0.875315454473958,0.7100249056927653,0.7608604741562293,0.6803813766658544
bbox_final,bbox,test,box,battery,0.9264386531459016,0.82398753894081,0.8613289133079707,0.7329184423133073
bbox_final,bbox,test,box,vinyl,0.7994042590476765,0.7455919395465995,0.8009328572380274,0.6978385990548337
bbox_final,bbox,test,box,general,0.9769561093959478,0.874296435272045,0.8938025794839638,0.8239115799374293
