model,task,split,metric,class,precision,recall,map50,map50_95
bbox_first,bbox,test,box,all,0.8283591734785497,0.7668083434199707,0.8066655696496899,0.6814002715383632
bbox_first,bbox,test,box,paper,0.8589301981686966,0.8002280349613601,0.8745316016272686,0.7970365783672493
bbox_first,bbox,test,box,plastic,0.7137252563416869,0.5697765259248021,0.6162012907299699,0.4560721144791808
bbox_first,bbox,test,box,can,0.777737201134491,0.8635578583765112,0.8927541127285125,0.7812522512093811
bbox_first,bbox,test,box,glass,0.8285442705019677,0.7090291807458516,0.7600082897808693,0.6369082748478625
bbox_first,bbox,test,box,battery,0.9094357314365727,0.8130841121495327,0.8517631268724186,0.7146398619466683
bbox_first,bbox,test,box,vinyl,0.7395665554697561,0.7455919395465995,0.7592371037250496,0.6164821108368309
bbox_first,bbox,test,box,general,0.9705750012966766,0.8663907522351371,0.8921634620837413,0.7674107090813694
