epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,15383.4,0.65304,0.67849,1.03135,0.88383,0.8228,0.89155,0.81126,0.41222,1.37101,0.83698,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,15862.3,0.65689,0.67922,1.03359,0.88588,0.82214,0.89199,0.81215,0.4115,1.37193,0.83653,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,16335.5,0.65138,0.66933,1.03018,0.88712,0.82309,0.89251,0.81302,0.41076,1.34375,0.83596,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,16811.8,0.65044,0.66542,1.02856,0.88871,0.8231,0.89369,0.81374,0.41,1.3311,0.83548,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,17289.4,0.65073,0.66803,1.02833,0.8855,0.82576,0.89417,0.81473,0.40927,1.3322,0.8352,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,17773.8,0.64568,0.66156,1.02612,0.88345,0.82739,0.89453,0.81518,0.40893,1.34306,0.83467,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,18251.4,0.64647,0.65978,1.02652,0.8863,0.82686,0.89451,0.81551,0.40856,1.35851,0.83445,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,18731,0.64431,0.65947,1.02713,0.89143,0.82279,0.89427,0.81579,0.40816,1.37494,0.83448,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,19206.8,0.64311,0.64939,1.02745,0.89381,0.82118,0.89483,0.81609,0.40775,1.37238,0.83423,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,19685.4,0.63824,0.64651,1.02291,0.89578,0.82057,0.8951,0.81654,0.40716,1.38357,0.83398,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,20161.2,0.6352,0.64281,1.02093,0.89812,0.82011,0.89533,0.81692,0.4068,1.39927,0.83383,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,20642.8,0.64109,0.6462,1.02412,0.89742,0.82167,0.89597,0.81754,0.40626,1.39943,0.83333,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,21119.1,0.63678,0.63584,1.0206,0.89772,0.82142,0.89609,0.81782,0.40599,1.41162,0.83307,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,21597.5,0.63344,0.63602,1.02106,0.89937,0.82109,0.89629,0.8183,0.40575,1.4085,0.83286,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,22074.9,0.63374,0.63818,1.02329,0.90026,0.82161,0.89651,0.81896,0.40548,1.40115,0.83287,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,22552.5,0.63396,0.63003,1.02083,0.89986,0.82203,0.8966,0.81907,0.40528,1.3846,0.83275,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,23029.3,0.63079,0.62693,1.01956,0.89715,0.82478,0.8971,0.81965,0.40487,1.37934,0.83268,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,23507.7,0.62929,0.62785,1.0191,0.89744,0.82588,0.89763,0.82028,0.40432,1.37091,0.83259,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,23983.7,0.62666,0.61874,1.01632,0.89834,0.82665,0.8981,0.82076,0.40349,1.36976,0.83197,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,24462,0.62824,0.62,1.01883,0.89826,0.82729,0.89822,0.82102,0.40255,1.34744,0.83119,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,24941.5,0.62222,0.61392,1.01429,0.89661,0.83023,0.89868,0.82146,0.40214,1.32045,0.83118,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,25415.8,0.62234,0.60853,1.01598,0.8973,0.83067,0.89896,0.82179,0.40169,1.29555,0.83082,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,25893.4,0.61947,0.60699,1.01266,0.89775,0.83129,0.89859,0.82192,0.4014,1.29129,0.8308,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,26371.2,0.61828,0.6056,1.01002,0.89954,0.83042,0.89896,0.82218,0.40079,1.26829,0.83034,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,26848.8,0.61468,0.59961,1.01137,0.89898,0.83083,0.89916,0.82234,0.40023,1.25581,0.82994,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,27324.2,0.61524,0.59613,1.01268,0.89934,0.83084,0.89944,0.82265,0.39975,1.22996,0.82958,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,27806.1,0.61424,0.59783,1.00925,0.90054,0.83052,0.89976,0.82329,0.3995,1.21014,0.82957,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,28282.7,0.61375,0.59353,1.01174,0.90117,0.8313,0.90019,0.82344,0.39945,1.19102,0.82965,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,28758.8,0.60973,0.59073,1.00895,0.90321,0.83081,0.90055,0.82383,0.39921,1.16428,0.82963,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,29235.1,0.60647,0.57724,1.00795,0.90341,0.83034,0.90068,0.8244,0.39902,1.1507,0.82955,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,29710.2,0.60806,0.58239,1.00729,0.90252,0.83198,0.90105,0.82488,0.3987,1.14657,0.8294,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,30184.8,0.60606,0.57778,1.00596,0.90138,0.83364,0.90144,0.82527,0.39839,1.15178,0.82939,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,30663.3,0.60705,0.5804,1.0049,0.9016,0.83421,0.90193,0.82591,0.39815,1.1537,0.82931,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,31139.1,0.60212,0.57139,1.00475,0.90259,0.83412,0.90221,0.82618,0.39782,1.153,0.8291,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,31615.1,0.59813,0.56578,1.00215,0.90615,0.83314,0.90261,0.82694,0.39724,1.14179,0.82893,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,32091.7,0.59633,0.56233,1.00208,0.90838,0.83203,0.90335,0.8274,0.39685,1.1421,0.82858,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,32568.9,0.59416,0.55853,1.00093,0.90895,0.83199,0.90382,0.82754,0.3965,1.13284,0.82833,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,33045.5,0.59368,0.55509,1.00062,0.909,0.8328,0.90383,0.82839,0.39615,1.11476,0.8283,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,33522.9,0.59204,0.55395,0.99928,0.91094,0.83276,0.90426,0.82876,0.39573,1.11347,0.8281,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,34000,0.59221,0.5522,0.99834,0.91175,0.83258,0.90474,0.82951,0.39529,1.10209,0.82763,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,34474.2,0.59139,0.54749,0.99855,0.913,0.83176,0.90486,0.82982,0.39492,1.08699,0.82751,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,34951.1,0.58732,0.54415,0.99648,0.91352,0.83201,0.90523,0.82998,0.39463,1.07803,0.8274,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,35430.9,0.58711,0.54158,0.99703,0.91226,0.83386,0.90559,0.83041,0.39413,1.06495,0.82712,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,35908.8,0.58378,0.53524,0.9955,0.91357,0.83371,0.90444,0.83004,0.39366,1.05489,0.8269,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,36386.4,0.57937,0.52643,0.99123,0.91378,0.83376,0.9048,0.83046,0.39326,1.03999,0.82668,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,36865.8,0.57737,0.52358,0.99238,0.91382,0.83392,0.90551,0.831,0.3932,1.03211,0.82672,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,37341.5,0.57734,0.52184,0.99175,0.9135,0.83438,0.90576,0.83128,0.39305,1.02129,0.82677,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,37818.5,0.5739,0.51487,0.98913,0.91428,0.83425,0.90586,0.83163,0.39276,1.01189,0.82666,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,38297.9,0.56979,0.51234,0.98474,0.91361,0.83573,0.90583,0.83174,0.39252,1.00528,0.82656,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,38777.1,0.56798,0.50734,0.98531,0.90707,0.83994,0.90583,0.83193,0.39223,0.99467,0.8265,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,39256.2,0.56696,0.50277,0.98709,0.90368,0.84342,0.90509,0.83181,0.39211,0.98168,0.82654,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,39731.3,0.56381,0.49964,0.98337,0.90411,0.84422,0.90517,0.83202,0.39171,0.96637,0.82607,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,40208.3,0.56162,0.49306,0.98216,0.90591,0.84286,0.90534,0.83231,0.39134,0.95375,0.82589,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,40686,0.55958,0.49052,0.98292,0.90714,0.84252,0.90561,0.83269,0.39098,0.94521,0.82563,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,41162.2,0.55697,0.48572,0.98073,0.90849,0.84251,0.90597,0.83305,0.39076,0.93972,0.82553,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,41640.2,0.55423,0.48063,0.98137,0.90857,0.84279,0.90563,0.83349,0.39019,0.935,0.82533,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,42117,0.55246,0.47762,0.97826,0.91108,0.84122,0.90596,0.83391,0.38977,0.92998,0.825,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,42598,0.55076,0.47173,0.9781,0.9121,0.84056,0.90607,0.83413,0.38957,0.93006,0.82484,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,43075.9,0.54505,0.46801,0.9747,0.91151,0.84217,0.90639,0.83409,0.38935,0.91837,0.82475,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,43559.7,0.4295,0.36643,0.88846,0.90918,0.84387,0.90693,0.83431,0.38927,0.90828,0.82469,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,44036.6,0.42372,0.35399,0.88598,0.91159,0.84228,0.90721,0.83456,0.38905,0.89773,0.82457,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,44510.4,0.41909,0.34809,0.88291,0.91291,0.84142,0.90671,0.83438,0.38883,0.87658,0.82467,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,44986.1,0.41648,0.33901,0.88123,0.91418,0.84208,0.90586,0.83382,0.38842,0.85603,0.82462,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,45462.5,0.41183,0.33162,0.87834,0.9165,0.84128,0.90602,0.8342,0.38825,0.8288,0.82451,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,45937.2,0.40841,0.32524,0.8771,0.91712,0.84186,0.90644,0.83436,0.38817,0.80526,0.82465,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,46412,0.40543,0.32099,0.87586,0.91728,0.84304,0.90608,0.83422,0.38804,0.79133,0.82476,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,46889,0.40115,0.31308,0.87466,0.91781,0.8435,0.90629,0.83432,0.38791,0.76989,0.82487,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,47363.1,0.39979,0.30797,0.87304,0.91962,0.84335,0.90633,0.83446,0.38775,0.75063,0.82501,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,47837.1,0.3955,0.3008,0.87082,0.91802,0.84488,0.9069,0.83438,0.38766,0.7329,0.82514,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
