model,metric,imgsz,mAP50-95,mAP50,P,R,inference_ms,plastic_mAP50-95,glass_mAP50-95,vinyl_mAP50-95
bbox_yolo26s_nobg,box,640,0.8718596182204256,0.9321815142147,0.9281946611246895,0.8920841436237064,4.927540666695373,0.8734465828618839,0.9279108300698944,0.7976595089304842
bbox_yolo26s_nobg,box,576,0.866656666970791,0.9267125873182078,0.9326638407406891,0.8823253114533716,4.073951733308301,0.861285817487371,0.9225543232655384,0.7881004109612625
bbox_yolo26s_nobg,box,512,0.860928153152347,0.9254954844906916,0.9348203244516383,0.8761659078053567,2.9694582666367446,0.853542683447946,0.9115840616821377,0.7837452146523973
bbox_yolo26s_nobg,box,480,0.8581173048873124,0.9214186728653081,0.9143380127745392,0.8891312089936136,2.7039003999767983,0.8500218331890219,0.9124099960316869,0.7732499997884631
bbox_yolo26s_nobg,box,416,0.8456906899635326,0.9138046790228344,0.9100550843602297,0.8745776333922294,2.131051666675679,0.8267820535011274,0.9088662651985555,0.7586603511878687
bbox_yolo26s_nobg,box,320,0.8128251522684296,0.8940490819312208,0.8889997288147965,0.8352474842118814,1.2777900666308901,0.7763924121555007,0.8902025385456426,0.7135463790389569
bbox_yolo11n,box,640,0.8421533253272818,0.9096656867149191,0.9202157272925409,0.8496368214457751,2.26272679992447,0.8459483294808476,0.925274043667085,0.7672473492617747
bbox_yolo11n,box,576,0.8382364969442606,0.90796532695748,0.9187463282555097,0.8496434923550442,1.8048729333289277,0.8382098307386942,0.9237845097703434,0.7655318018856769
bbox_yolo11n,box,512,0.8296596411230877,0.902451264874672,0.9187598375059529,0.8350086138651378,1.406408399993476,0.8195946890172559,0.9174601655511786,0.7442925950585209
bbox_yolo11n,box,480,0.8252927463177635,0.9015719694877224,0.9061648177348801,0.8418446611944007,1.2739033333491534,0.8135972409663186,0.9159897243625423,0.7309905039694204
bbox_yolo11n,box,416,0.8136275474384657,0.8941597729065514,0.9113301056339473,0.8234013664525953,1.0024183333443943,0.7908478908755682,0.9110389810857494,0.7124525246785602
bbox_yolo11n,box,320,0.77413067273644,0.8687297716206819,0.856039641199896,0.8025998454139562,0.594339266603735,0.7312009747587161,0.8819512067812767,0.665889747648445
seg_yolo11n,box,640,0.8639620503986454,0.9120095923605831,0.8822238258754403,0.8628188469002215,3.0136400000192225,0.8434163201156422,0.9238306014178492,0.7947764627345317
seg_yolo11n,box,576,0.8652636240893449,0.9130168977266422,0.8904317192200253,0.8598583400757533,2.4975808000405473,0.835105307763123,0.9254457105355186,0.7949236776268568
seg_yolo11n,box,512,0.8589156805578451,0.9092434279893641,0.8871958883850704,0.8501716057301462,1.8192012666938049,0.8253164459163743,0.9194637355283255,0.7880087314029864
seg_yolo11n,box,480,0.8541294566671366,0.9056007857332933,0.8894128464196763,0.8408470659820961,1.6061817999967993,0.8166604033248228,0.921942936527787,0.7752438616694455
seg_yolo11n,box,416,0.8407522448231797,0.8997952358248715,0.8835191161719181,0.8358311939709674,1.3675902000104543,0.8007562121605964,0.9113531982898836,0.7488574197718204
seg_yolo11n,box,320,0.8003443154226058,0.8732930213637398,0.8419921085903033,0.7963451285777644,0.836601199999374,0.7375157144994191,0.885596003585696,0.6961824961993431
seg_yolo11n,mask,640,0.8239664105721219,0.9037135222760881,0.8785039527859985,0.8592839481905754,3.0136400000192225,0.7885553439271357,0.8974863883750406,0.7504615146649899
seg_yolo11n,mask,576,0.8190119932110176,0.9070880133401346,0.8873430091602712,0.8565616809111871,2.4975808000405473,0.7863617777250138,0.8962411630782678,0.7405171481996691
seg_yolo11n,mask,512,0.8103215298068257,0.9020695083566005,0.8820172621142726,0.8475775399357934,1.8192012666938049,0.7670236823792994,0.8872636682970534,0.7366863108165409
seg_yolo11n,mask,480,0.7988481526194733,0.8980845814258237,0.885369821898535,0.8351925265185468,1.6061817999967993,0.746190896246273,0.8788498896899342,0.7181990017441392
seg_yolo11n,mask,416,0.7817267347930396,0.8917576770910383,0.8772465810102948,0.8301398980374591,1.3675902000104543,0.7341525086681543,0.8684769463316175,0.6973247288270018
seg_yolo11n,mask,320,0.7242280503788744,0.8631514280258481,0.8356326648194842,0.7904044653915699,0.836601199999374,0.650331918424393,0.8246015390386905,0.6343609404690842
