epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,31514.8,0.55429,0.31244,0.00635,0.91856,0.87674,0.91088,0.83613,0.41393,0.41502,0.00489,7.4725e-06,7.4725e-06,7.4725e-06
40,32334,0.55308,0.30923,0.00633,0.91859,0.87655,0.91066,0.83613,0.41376,0.41564,0.00489,7.35495e-06,7.35495e-06,7.35495e-06
41,33141,0.55516,0.30982,0.00635,0.91836,0.87655,0.91051,0.83574,0.41354,0.41644,0.00488,7.23607e-06,7.23607e-06,7.23607e-06
42,33948.9,0.55474,0.31064,0.00632,0.91871,0.8761,0.91044,0.83566,0.41362,0.4168,0.00489,7.11596e-06,7.11596e-06,7.11596e-06
43,34763.8,0.55282,0.30788,0.00631,0.91873,0.87576,0.90986,0.83553,0.41369,0.4168,0.00489,6.99476e-06,6.99476e-06,6.99476e-06
44,35580.4,0.54992,0.30772,0.0063,0.91989,0.87397,0.91019,0.83543,0.41371,0.41724,0.00489,6.87257e-06,6.87257e-06,6.87257e-06
45,36385.2,0.5505,0.30829,0.00628,0.9195,0.87411,0.90957,0.83487,0.41342,0.4163,0.00489,6.74953e-06,6.74953e-06,6.74953e-06
46,37192.4,0.55283,0.30928,0.00628,0.91798,0.87604,0.9094,0.83495,0.41359,0.41725,0.00489,6.62574e-06,6.62574e-06,6.62574e-06
47,38002,0.54771,0.30299,0.00625,0.91822,0.87565,0.90978,0.83504,0.41318,0.41786,0.00489,6.50133e-06,6.50133e-06,6.50133e-06
48,38805.8,0.54759,0.30279,0.00628,0.9176,0.87616,0.90924,0.83487,0.41318,0.41882,0.00489,6.37643e-06,6.37643e-06,6.37643e-06
49,39611.3,0.54702,0.30258,0.00623,0.91747,0.87663,0.90909,0.83469,0.41304,0.41926,0.00489,6.25116e-06,6.25116e-06,6.25116e-06
