model,task,split,metric,class,precision,recall,map50,map50_95
bbox_final_selected,bbox,test,box,all,0.9260759231822804,0.9301768018119807,0.9437500000000001,0.8782920634920633
bbox_final_selected,bbox,test,box,paper,1.0,0.9560608108718839,0.995,0.9207500000000002
bbox_final_selected,bbox,test,box,plastic,0.721050732281787,0.75,0.8075000000000001,0.6991666666666667
bbox_final_selected,bbox,test,box,can,,,,
bbox_final_selected,bbox,test,box,glass,1.0,1.0,0.995,0.9949999999999999
bbox_final_selected,bbox,test,box,battery,0.9958603506284166,0.875,0.875,0.7648357142857143
bbox_final_selected,bbox,test,box,vinyl,0.942721888055506,1.0,0.995,0.9949999999999999
bbox_final_selected,bbox,test,box,general,0.8968225681279722,1.0,0.995,0.8949999999999999
