model,task,split,metric,class,precision,recall,map50,map50_95
bbox_yolo11n,bbox,test,box,all,0.8209389612262253,0.765709491651318,0.8215095192679256,0.7275973579317014
bbox_yolo11n,bbox,test,box,paper,0.862945656919618,0.8128571428571428,0.8953335806005759,0.8583000669534332
bbox_yolo11n,bbox,test,box,plastic,0.7148261627353998,0.5054413542926239,0.6217802202363543,0.49250369988441206
bbox_yolo11n,bbox,test,box,can,0.786050691432104,0.8601036269430051,0.8834407539217507,0.8281137464946662
bbox_yolo11n,bbox,test,box,glass,0.7938517658628704,0.7076404447298753,0.7657864335071263,0.6721873827257728
bbox_yolo11n,bbox,test,box,battery,0.8933591816520106,0.8351178179447774,0.8984335693654876,0.7610182903545224
bbox_yolo11n,bbox,test,box,vinyl,0.750200760436852,0.7682619647355163,0.7989265893845056,0.6834594713033957
bbox_yolo11n,bbox,test,box,general,0.9453385095447228,0.8705440900562852,0.8868654878596793,0.7975988478057076
