epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,629.678,0.58639,0.37385,0.00705,0.91533,0.86909,0.91476,0.81477,0.49107,0.45122,0.00583,2.9991e-05,2.9991e-05,2.9991e-05
2,1229.1,0.55165,0.34474,0.00653,0.91753,0.85975,0.91069,0.81457,0.48688,0.45862,0.00572,2.99941e-05,2.99941e-05,2.99941e-05
3,1820.48,0.53795,0.33085,0.00633,0.91591,0.86862,0.91162,0.82041,0.4688,0.43392,0.00556,2.99763e-05,2.99763e-05,2.99763e-05
4,2378.25,0.53353,0.32198,0.00625,0.9187,0.86676,0.91066,0.81838,0.47496,0.42723,0.00556,2.99467e-05,2.99467e-05,2.99467e-05
5,2937.4,0.52706,0.3136,0.00617,0.91787,0.86773,0.91082,0.81854,0.47375,0.42543,0.00561,2.99054e-05,2.99054e-05,2.99054e-05
6,3497.6,0.52106,0.31061,0.00608,0.91469,0.86953,0.90897,0.82015,0.46613,0.42501,0.00549,2.98523e-05,2.98523e-05,2.98523e-05
7,4054.81,0.5207,0.30602,0.00608,0.92599,0.86585,0.90759,0.81767,0.47151,0.42779,0.00559,2.97874e-05,2.97874e-05,2.97874e-05
8,4616.65,0.51701,0.30041,0.00601,0.92296,0.86691,0.90765,0.81747,0.47203,0.42836,0.00556,2.9711e-05,2.9711e-05,2.9711e-05
9,5174.99,0.51139,0.29499,0.00595,0.92505,0.86391,0.90619,0.81636,0.47248,0.42724,0.00558,2.9623e-05,2.9623e-05,2.9623e-05
10,5738.41,0.51232,0.29245,0.00596,0.92535,0.86622,0.90682,0.81633,0.47144,0.42845,0.00557,2.95235e-05,2.95235e-05,2.95235e-05
11,6297.19,0.50736,0.28845,0.00589,0.92238,0.86817,0.90641,0.81761,0.46667,0.43009,0.0055,2.94127e-05,2.94127e-05,2.94127e-05
12,6863.29,0.50603,0.28731,0.00586,0.92205,0.86786,0.90572,0.81695,0.46851,0.42678,0.00554,2.92906e-05,2.92906e-05,2.92906e-05
13,7420.98,0.5038,0.28252,0.00582,0.9161,0.87341,0.90519,0.81595,0.46872,0.42711,0.00554,2.91573e-05,2.91573e-05,2.91573e-05
