model,task,split,metric,class,precision,recall,map50,map50_95
bbox_yolo26s_aborted,bbox,test,box,all,0.6572750855440931,0.6472317803119958,0.6672645877755787,0.5611511209905653
bbox_yolo26s_aborted,bbox,test,box,paper,0.7399078907775488,0.7477743336649592,0.7993993924305813,0.7427647259041782
bbox_yolo26s_aborted,bbox,test,box,plastic,0.5854337499682616,0.4064016399105035,0.45934550476151254,0.37304750501397455
bbox_yolo26s_aborted,bbox,test,box,can,0.5771510463022353,0.6217616580310881,0.589648801281065,0.5079260887355367
bbox_yolo26s_aborted,bbox,test,box,glass,0.7123880752652849,0.5610092843733073,0.6560819863695684,0.5576857541587811
bbox_yolo26s_aborted,bbox,test,box,battery,0.4584473919208104,0.8457943925233645,0.745719898390293,0.6214819607346651
bbox_yolo26s_aborted,bbox,test,box,vinyl,0.6406669162292098,0.5692695214105793,0.5863943867667816,0.4715006690800513
bbox_yolo26s_aborted,bbox,test,box,general,0.8869305283453001,0.7786116322701688,0.8342621444292493,0.6536511433067711
