2026/09/10 15:11:53.510, 1, 8, 465, [N/A], 48
2026/09/10 15:11:54.513, 3, 10, 470, [N/A], 48
2026/09/10 15:11:55.527, 0, 7, 562, [N/A], 48
2026/09/10 15:11:56.541, 0, 0, 562, [N/A], 49
2026/09/10 15:11:57.546, 3, 1, 679, [N/A], 49
2026/09/10 15:11:58.547, 0, 0, 691, [N/A], 49
2026/09/10 15:11:59.561, 2, 0, 691, [N/A], 49
2026/09/10 15:12:00.569, 0, 0, 690, [N/A], 49
2026/09/10 15:12:01.576, 0, 0, 686, [N/A], 49
2026/09/10 15:12:02.591, 1, 5, 684, [N/A], 49
2026/09/10 15:12:03.593, 1, 9, 684, [N/A], 49
2026/09/10 15:12:04.595, 0, 9, 684, [N/A], 49
2026/09/10 15:12:05.596, 0, 8, 684, [N/A], 49
2026/09/10 15:12:06.609, 0, 9, 684, [N/A], 49
2026/09/10 15:12:07.611, 0, 9, 684, [N/A], 49
2026/09/10 15:12:08.625, 0, 8, 684, [N/A], 49
2026/09/10 15:12:09.628, 0, 9, 684, [N/A], 49
2026/09/10 15:12:10.629, 0, 9, 684, [N/A], 49
2026/09/10 15:12:11.638, 1, 9, 684, [N/A], 49
2026/09/10 15:12:12.642, 0, 9, 684, [N/A], 49
2026/09/10 15:12:13.657, 0, 10, 684, [N/A], 49
2026/09/10 15:12:14.661, 0, 9, 684, [N/A], 49
2026/09/10 15:12:15.663, 0, 10, 684, [N/A], 49
2026/09/10 15:12:16.676, 0, 10, 684, [N/A], 49
2026/09/10 15:12:17.678, 0, 9, 684, [N/A], 49
2026/09/10 15:12:18.693, 0, 10, 684, [N/A], 49
2026/09/10 15:12:19.695, 12, 11, 836, [N/A], 49
2026/09/10 15:12:20.696, 4, 2, 2468, [N/A], 50
2026/09/10 15:12:21.710, 0, 1, 2532, [N/A], 50
2026/09/10 15:12:22.713, 1, 1, 2696, [N/A], 50
2026/09/10 15:12:23.726, 0, 1, 2696, [N/A], 50
2026/09/10 15:12:24.726, 0, 5, 2696, [N/A], 49
2026/09/10 15:12:25.729, 88, 76, 2798, [N/A], 50
2026/09/10 15:12:26.729, 82, 67, 2928, [N/A], 56
2026/09/10 15:12:27.745, 84, 69, 2930, [N/A], 60
2026/09/10 15:12:28.749, 68, 56, 2930, [N/A], 58
2026/09/10 15:12:29.760, 71, 60, 2930, [N/A], 58
2026/09/10 15:12:30.761, 86, 70, 2930, [N/A], 60
2026/09/10 15:12:31.775, 88, 73, 2930, [N/A], 62
2026/09/10 15:12:32.779, 84, 69, 2930, [N/A], 62
2026/09/10 15:12:33.794, 82, 68, 2930, [N/A], 62
2026/09/10 15:12:34.795, 87, 71, 2930, [N/A], 62
