epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,431.314,0.31589,0.65328,0.32977,0.82994,0,0.89541,0.82412,0.89964,0.84711,0.89393,0.81932,0.89365,0.80733,0.30891,0.72922,0.6001,0.81309,0,2.99904e-05,2.99904e-05,2.99904e-05
2,843.315,0.31034,0.6426,0.31694,0.82784,0,0.89196,0.82718,0.89969,0.84778,0.88956,0.82248,0.89373,0.80829,0.30641,0.72694,0.6013,0.81335,0,2.99941e-05,2.99941e-05,2.99941e-05
3,1258.63,0.30879,0.63599,0.3114,0.82757,0,0.88762,0.83173,0.89948,0.84759,0.88369,0.82819,0.89326,0.80761,0.30774,0.72787,0.59524,0.81357,0,2.99763e-05,2.99763e-05,2.99763e-05
4,1667.51,0.30768,0.63313,0.30767,0.8261,0,0.88915,0.83155,0.89926,0.84797,0.88692,0.82623,0.89302,0.80807,0.30561,0.72883,0.61401,0.81386,0,2.99467e-05,2.99467e-05,2.99467e-05
5,2084.74,0.30544,0.62903,0.30387,0.82421,0,0.89019,0.83198,0.89825,0.84819,0.88929,0.82637,0.89239,0.80772,0.30464,0.73045,0.60161,0.81442,0,2.99054e-05,2.99054e-05,2.99054e-05
6,2502.88,0.30502,0.62584,0.30144,0.824,0,0.88809,0.83073,0.89821,0.84742,0.8868,0.82671,0.89175,0.80725,0.30517,0.73618,0.59969,0.81539,0,2.98523e-05,2.98523e-05,2.98523e-05
7,2916.69,0.30322,0.6244,0.2992,0.82302,0,0.89013,0.8311,0.89724,0.84718,0.89083,0.82444,0.89135,0.80695,0.3054,0.73484,0.59582,0.81588,0,2.97874e-05,2.97874e-05,2.97874e-05
8,3329.41,0.30275,0.6214,0.29705,0.82367,0,0.88681,0.83209,0.89719,0.84706,0.88546,0.82769,0.89146,0.80698,0.30591,0.73502,0.58317,0.81551,0,2.9711e-05,2.9711e-05,2.9711e-05
9,3737.11,0.30281,0.62016,0.29474,0.82231,0,0.88361,0.8365,0.89806,0.84748,0.8824,0.82979,0.89122,0.80704,0.30451,0.73774,0.59405,0.81518,0,2.9623e-05,2.9623e-05,2.9623e-05
10,4146.21,0.30194,0.61859,0.29474,0.82075,0,0.88528,0.8335,0.89747,0.84659,0.88975,0.82443,0.89078,0.80645,0.30554,0.73913,0.59568,0.8161,0,2.95235e-05,2.95235e-05,2.95235e-05
11,4551.19,0.30082,0.61629,0.29179,0.82264,0,0.88593,0.83462,0.89704,0.84671,0.88431,0.82982,0.89072,0.80681,0.30395,0.73916,0.59675,0.81625,0,2.94127e-05,2.94127e-05,2.94127e-05
12,4962.22,0.29951,0.61356,0.29087,0.82113,0,0.88462,0.83558,0.89669,0.84597,0.88127,0.83138,0.89024,0.80611,0.30528,0.74159,0.60046,0.81509,0,2.92906e-05,2.92906e-05,2.92906e-05
