model,task,split,metric,class,precision,recall,map50,map50_95
seg_first,seg,test,box,all,0.7739033295893994,0.768092982951986,0.8104977931243632,0.7332079504854121
seg_first,seg,test,box,general,0.9138265743491162,0.8199300699300699,0.8442934578544209,0.7606313546382051
seg_first,seg,test,box,can,0.7149480925025241,0.8613707165109035,0.8764118843612924,0.8256350574490723
seg_first,seg,test,box,plastic,0.6249597043462768,0.5605889014722537,0.6111932869177282,0.4978123150722632
seg_first,seg,test,box,paper,0.8090951945934426,0.7777777777777778,0.8614165674703632,0.8208228689280279
seg_first,seg,test,box,glass,0.7732650483377006,0.7016861219195849,0.7425213985081256,0.6554696737019863
seg_first,seg,test,box,vinyl,0.7281518418268692,0.7124068501628691,0.7803190497708412,0.6785553938763501
seg_first,seg,test,box,battery,0.8530768511698675,0.9428904428904429,0.9573289069877702,0.8935289897319795
seg_first,seg,test,seg,all,0.7887849529625645,0.7436473400199193,0.8023740698146289,0.6819642051405453
seg_first,seg,test,seg,general,0.8988156861757841,0.8006993006993007,0.8198051379018237,0.6853866190762737
seg_first,seg,test,seg,can,0.7392724480616133,0.8568096839097459,0.878401306095372,0.7891994429929868
seg_first,seg,test,seg,plastic,0.6602919478128378,0.5254813137032842,0.605133501148819,0.4334453934813138
seg_first,seg,test,seg,paper,0.8188381419617407,0.747599451303155,0.851464287231819,0.7738940911999963
seg_first,seg,test,seg,glass,0.7896558337819576,0.6816812323855029,0.7434391292879294,0.6146751694000829
seg_first,seg,test,seg,vinyl,0.753388403234151,0.6608594657375145,0.7702344880549343,0.6246888454792445
seg_first,seg,test,seg,battery,0.861232209709867,0.9324009324009324,0.9481406389817048,0.8524598743539183
