epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,23685.6,0.71845,0.64797,0.00769,0.90612,0.86106,0.91479,0.84229,0.41892,0.39454,0.00494,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,24425.4,0.71695,0.64524,0.00768,0.90069,0.86588,0.91485,0.84241,0.4192,0.39409,0.00495,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,25164.2,0.71229,0.63908,0.00763,0.90064,0.86696,0.91382,0.84202,0.4192,0.39312,0.00496,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,25902.9,0.70946,0.63594,0.00761,0.90082,0.86755,0.91447,0.84203,0.41881,0.39221,0.00495,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,26636.7,0.70603,0.63138,0.00755,0.90651,0.86192,0.91509,0.84265,0.41882,0.38989,0.00496,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,27374.4,0.7051,0.62734,0.00755,0.90979,0.86027,0.91532,0.843,0.41791,0.3894,0.00495,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,28109,0.70262,0.61505,0.00752,0.91167,0.85748,0.91546,0.84307,0.41755,0.39079,0.00494,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,28850.2,0.70118,0.61563,0.0075,0.91201,0.85744,0.91577,0.84361,0.41725,0.39004,0.00494,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,29592.5,0.69973,0.60771,0.00753,0.91326,0.85705,0.9159,0.84379,0.41726,0.38975,0.00494,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,30332.5,0.69812,0.60724,0.00749,0.91406,0.85711,0.91597,0.84436,0.41712,0.38981,0.00494,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,31073.3,0.69675,0.60763,0.0074,0.91863,0.85371,0.91612,0.84475,0.41685,0.39006,0.00494,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,31812.1,0.69113,0.5961,0.00737,0.9171,0.8553,0.91646,0.84506,0.41562,0.38813,0.00493,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,32550.9,0.69376,0.59912,0.00744,0.91566,0.85673,0.91573,0.84526,0.41542,0.38603,0.00493,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,33290.7,0.68979,0.58983,0.00735,0.91547,0.85731,0.91667,0.84562,0.4152,0.3863,0.00493,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,34031.8,0.6864,0.58855,0.00735,0.91494,0.85756,0.91623,0.84577,0.41527,0.38499,0.00493,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,34772.5,0.68346,0.58085,0.00727,0.90738,0.86606,0.91627,0.84627,0.41495,0.38513,0.00493,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,35514.8,0.68023,0.57441,0.00726,0.91657,0.85773,0.91665,0.84677,0.41428,0.3844,0.00492,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,36248.8,0.67989,0.57609,0.00727,0.92028,0.85526,0.91728,0.8473,0.41336,0.38244,0.00491,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,36984.4,0.67403,0.56733,0.00721,0.91865,0.85763,0.91778,0.84747,0.41272,0.38464,0.0049,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,37723.1,0.67697,0.56437,0.00725,0.90797,0.86769,0.91782,0.84763,0.41209,0.38548,0.00489,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,38463.8,0.6712,0.55491,0.00717,0.90858,0.86775,0.9179,0.84778,0.41164,0.38542,0.00488,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,39204.3,0.66503,0.55221,0.00705,0.90965,0.86657,0.91812,0.84824,0.41127,0.38514,0.00488,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,39942.8,0.66597,0.54725,0.00708,0.91662,0.85954,0.91815,0.84859,0.41117,0.38604,0.00489,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,40680.4,0.66248,0.54269,0.00699,0.91732,0.85992,0.91835,0.84882,0.41123,0.38904,0.00489,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,41414.7,0.66012,0.53471,0.00699,0.91381,0.86404,0.91847,0.84889,0.41062,0.38629,0.00489,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,42153.5,0.66209,0.54069,0.00701,0.91372,0.86564,0.91893,0.84895,0.41034,0.38231,0.00489,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,42890.9,0.65377,0.52688,0.00695,0.91244,0.86824,0.91844,0.84939,0.40936,0.38199,0.00488,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,43630.3,0.65006,0.52655,0.00692,0.91434,0.86635,0.91864,0.84961,0.40839,0.38228,0.00488,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,44371,0.65154,0.52549,0.0069,0.91419,0.8676,0.9189,0.84967,0.40795,0.3798,0.00487,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,45113.5,0.644,0.52408,0.00684,0.9149,0.86666,0.91907,0.84989,0.40711,0.3798,0.00486,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,45848.1,0.64218,0.52035,0.00681,0.91375,0.8678,0.91917,0.85069,0.40674,0.38043,0.00485,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,46593.6,0.63954,0.51205,0.00671,0.91199,0.87043,0.91928,0.85098,0.40591,0.38038,0.00484,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,47333.8,0.63738,0.50049,0.00671,0.91321,0.86973,0.91935,0.85074,0.4047,0.37967,0.00483,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,48071.7,0.63623,0.49595,0.00669,0.91262,0.87133,0.91842,0.85037,0.40361,0.38051,0.0048,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,48813.1,0.63108,0.4891,0.00663,0.91376,0.87168,0.91834,0.85057,0.40256,0.38129,0.0048,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,49551.4,0.62811,0.4845,0.00663,0.91437,0.87142,0.91953,0.85165,0.40186,0.38138,0.00479,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,50287.4,0.62694,0.47801,0.00661,0.91398,0.87098,0.91849,0.85095,0.40098,0.38398,0.00478,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,51022.4,0.62201,0.47607,0.00651,0.91631,0.86937,0.91874,0.85142,0.4003,0.38433,0.00477,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,51754.8,0.61643,0.47255,0.00649,0.91411,0.87298,0.91896,0.85197,0.39977,0.38211,0.00476,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,52494.5,0.61544,0.47088,0.00646,0.91539,0.87208,0.9186,0.85199,0.39958,0.37977,0.00476,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
