model,metric,class,map50_95,delta_pp
original,box,all,0.7610661328221966,0.0
original,box,paper,0.8849724312173064,0.0
original,box,plastic,0.5527091742483349,0.0
original,box,can,0.8695450844615433,0.0
original,box,glass,0.6915562009849782,0.0
original,box,battery,0.7653516432637824,0.0
original,box,vinyl,0.7403899053277111,0.0
original,box,general,0.8229384902517178,0.0
first_transfer,box,all,0.6814002715383632,-7.9665861283833355
first_transfer,box,paper,0.7970365783672493,-8.793585285005712
first_transfer,box,plastic,0.4560721144791808,-9.66370597691541
first_transfer,box,can,0.7812522512093811,-8.82928332521622
first_transfer,box,glass,0.6369082748478625,-5.464792613711566
first_transfer,box,battery,0.7146398619466683,-5.071178131711407
first_transfer,box,vinyl,0.6164821108368309,-12.390779449088019
first_transfer,box,general,0.7674107090813694,-5.5527781170348405
final_selected,box,all,0.7410622814629887,-2.0003851359207903
final_selected,box,paper,0.8634603445483255,-2.1512086668980857
final_selected,box,plastic,0.5457779981130215,-0.6931176135313355
final_selected,box,can,0.8431476296081482,-2.6397454853395175
final_selected,box,glass,0.6803813766658544,-1.1174824319123755
final_selected,box,battery,0.7329184423133073,-3.2433200950475083
final_selected,box,vinyl,0.6978385990548337,-4.255130627287739
final_selected,box,general,0.8239115799374293,0.09730896857114146
